Threatened_species,Year,Series,Value
Turkmenistan,2016,Threatened Species: Plants (number),4
Guernsey,2016,Threatened Species: Total (number),5
New Zealand,2019,Threatened Species: Total (number),247
Dominican Republic,2020,Threatened Species: Plants (number),48
Senegal,2010,Threatened Species: Total (number),82
Antarctica,2019,Threatened Species: Vertebrates (number),6
Estonia,2010,Threatened Species: Vertebrates (number),8
Singapore,2018,Threatened Species: Total (number),300
Samoa,2018,Threatened Species: Invertebrates (number),62
Côte d’Ivoire,2018,Threatened Species: Total (number),257
Wallis and Futuna Islands,2016,Threatened Species: Invertebrates (number),65
Martinique,2018,Threatened Species: Total (number),48
Micronesia (Fed. States of),2020,Threatened Species: Total (number),170
Denmark,2004,Threatened Species: Plants (number),3
Turkey,2004,Threatened Species: Vertebrates (number),76
Angola,2019,Threatened Species: Vertebrates (number),111
Portugal,2016,Threatened Species: Total (number),272
Cambodia,2018,Threatened Species: Total (number),261
Bolivia (Plurin. State of),2017,Threatened Species: Plants (number),104
Cocos (Keeling) Islands,2010,Threatened Species: Vertebrates (number),11
Equatorial Guinea,2019,Threatened Species: Total (number),190
Mexico,2010,Threatened Species: Plants (number),255
Ecuador,2017,Threatened Species: Invertebrates (number),70
Estonia,2017,Threatened Species: Plants (number),2
