Threatened_species,Year,Series,Value
Gambia,2018,Threatened Species: Plants (number),5
Comoros,2010,Threatened Species: Plants (number),5
United States Virgin Islands,2010,Threatened Species: Plants (number),12
North Macedonia,2019,Threatened Species: Vertebrates (number),34
Djibouti,2010,Threatened Species: Vertebrates (number),29
France,2016,Threatened Species: Plants (number),43
New Caledonia,2019,Threatened Species: Vertebrates (number),118
Armenia,2016,Threatened Species: Plants (number),71
Comoros,2004,Threatened Species: Plants (number),5
Nauru,2016,Threatened Species: Total (number),82
Ghana,2004,Threatened Species: Vertebrates (number),43
Cyprus,2010,Threatened Species: Vertebrates (number),31
Åland Islands,2020,Threatened Species: Plants (number),1
Malaysia,2020,Threatened Species: Total (number),1662
Bermuda,2017,Threatened Species: Vertebrates (number),36
Oman,2018,Threatened Species: Total (number),105
Zambia,2019,Threatened Species: Plants (number),28
Republic of Moldova,2018,Threatened Species: Total (number),34
Austria,2004,Threatened Species: Plants (number),3
Jamaica,2004,Threatened Species: Vertebrates (number),54
Guatemala,2020,Threatened Species: Total (number),352
Mauritius,2010,Threatened Species: Plants (number),88
Eswatini,2018,Threatened Species: Invertebrates (number),0
Belgium,2004,Threatened Species: Plants (number),0
Republic of Korea,2004,Threatened Species: Total (number),55
India,2018,Threatened Species: Plants (number),392
Heard Is. and McDonald Is.,2019,Threatened Species: Invertebrates (number),0
Malaysia,2010,Threatened Species: Total (number),1180
Other non-specified areas,2010,Threatened Species: Total (number),304
Djibouti,2019,Threatened Species: Vertebrates (number),49
Andorra,2004,Threatened Species: Invertebrates (number),4
Luxembourg,2016,Threatened Species: Total (number),11
Nauru,2010,Threatened Species: Plants (number),0
Viet Nam,2017,Threatened Species: Plants (number),204
Tokelau,2010,Threatened Species: Vertebrates (number),10
Mauritius,2017,Threatened Species: Vertebrates (number),47
Sierra Leone,2019,Threatened Species: Vertebrates (number),110
U.S. Minor Outlying islands,2020,Threatened Species: Vertebrates (number),26
Canada,2018,Threatened Species: Total (number),148
Cook Islands,2010,Threatened Species: Plants (number),1
Holy See,2017,Threatened Species: Total (number),1
Ukraine,2020,Threatened Species: Total (number),132
Uzbekistan,2019,Threatened Species: Invertebrates (number),3
Gibraltar,2017,Threatened Species: Total (number),31
Australia,2020,Threatened Species: Total (number),1308
Mauritania,2004,Threatened Species: Vertebrates (number),25
Angola,2004,Threatened Species: Total (number),76
Denmark,2017,Threatened Species: Total (number),47
Samoa,2020,Threatened Species: Vertebrates (number),33
Qatar,2018,Threatened Species: Invertebrates (number),13
Christmas Island,2018,Threatened Species: Total (number),38
Armenia,2020,Threatened Species: Plants (number),76
Australia,2010,Threatened Species: Plants (number),67
Guinea,2017,Threatened Species: Plants (number),44
Libya,2019,Threatened Species: Invertebrates (number),4
French Guiana,2010,Threatened Species: Vertebrates (number),40
Burundi,2020,Threatened Species: Vertebrates (number),48
Philippines,2019,Threatened Species: Invertebrates (number),240
"China, Hong Kong SAR",2004,Threatened Species: Total (number),39
Kuwait,2018,Threatened Species: Total (number),52
Solomon Islands,2019,Threatened Species: Total (number),243
Lao People's Dem. Rep.,2020,Threatened Species: Total (number),250
Mozambique,2010,Threatened Species: Total (number),209
Spain,2004,Threatened Species: Total (number),153
Montserrat,2018,Threatened Species: Vertebrates (number),39
Argentina,2018,Threatened Species: Total (number),270
Denmark,2010,Threatened Species: Total (number),33
Cameroon,2010,Threatened Species: Vertebrates (number),222
Aruba,2017,Threatened Species: Invertebrates (number),2
Togo,2010,Threatened Species: Total (number),54
United Rep. of Tanzania,2017,Threatened Species: Vertebrates (number),355
Hungary,2018,Threatened Species: Invertebrates (number),34
"China, Macao SAR",2020,Threatened Species: Plants (number),0
Eritrea,2020,Threatened Species: Plants (number),6
Syrian Arab Republic,2020,Threatened Species: Total (number),147
Mali,2004,Threatened Species: Plants (number),6
Iran (Islamic Republic of),2019,Threatened Species: Vertebrates (number),118
Albania,2020,Threatened Species: Invertebrates (number),73
Christmas Island,2010,Threatened Species: Plants (number),1
Morocco,2016,Threatened Species: Vertebrates (number),101
Belarus,2004,Threatened Species: Invertebrates (number),8
Palau,2017,Threatened Species: Invertebrates (number),146
Seychelles,2004,Threatened Species: Total (number),84
Central African Republic,2004,Threatened Species: Plants (number),15
Estonia,2020,Threatened Species: Invertebrates (number),7
Grenada,2020,Threatened Species: Invertebrates (number),10
Chile,2019,Threatened Species: Plants (number),76
Ethiopia,2018,Threatened Species: Total (number),157
Isle of Man,2020,Threatened Species: Total (number),6
American Samoa,2010,Threatened Species: Total (number),79
Iceland,2004,Threatened Species: Vertebrates (number),15
Isle of Man,2019,Threatened Species: Plants (number),1
Saint Vincent & Grenadines,2017,Threatened Species: Vertebrates (number),43
Cocos (Keeling) Islands,2018,Threatened Species: Plants (number),0
Thailand,2004,Threatened Species: Vertebrates (number),136
Mauritania,2010,Threatened Species: Plants (number),0
Canada,2020,Threatened Species: Invertebrates (number),38
Italy,2010,Threatened Species: Plants (number),27
Belize,2019,Threatened Species: Invertebrates (number),12
Serbia,2018,Threatened Species: Total (number),77
Sint Maarten (Dutch part),2018,Threatened Species: Plants (number),3
United States Virgin Islands,2004,Threatened Species: Invertebrates (number),0
Tajikistan,2004,Threatened Species: Vertebrates (number),20
Falkland Islands (Malvinas),2017,Threatened Species: Plants (number),5
Uzbekistan,2019,Threatened Species: Plants (number),16
North Macedonia,2019,Threatened Species: Total (number),127
Isle of Man,2018,Threatened Species: Vertebrates (number),3
United Rep. of Tanzania,2016,Threatened Species: Total (number),1086
Martinique,2020,Threatened Species: Invertebrates (number),2
Heard Is. and McDonald Is.,2017,Threatened Species: Invertebrates (number),0
Switzerland,2016,Threatened Species: Vertebrates (number),18
Jersey,2018,Threatened Species: Total (number),6
Togo,2016,Threatened Species: Plants (number),12
Mozambique,2018,Threatened Species: Invertebrates (number),67
Dominican Republic,2019,Threatened Species: Total (number),200
French Southern Territories,2017,Threatened Species: Total (number),25
Germany,2020,Threatened Species: Total (number),200
Greece,2004,Threatened Species: Total (number),75
Finland,2004,Threatened Species: Plants (number),1
Australia,2020,Threatened Species: Invertebrates (number),548
American Samoa,2020,Threatened Species: Invertebrates (number),65
Japan,2020,Threatened Species: Vertebrates (number),228
Palau,2020,Threatened Species: Invertebrates (number),148
Czechia,2018,Threatened Species: Total (number),74
"China, Macao SAR",2019,Threatened Species: Vertebrates (number),15
Denmark,2017,Threatened Species: Vertebrates (number),28
Guyana,2004,Threatened Species: Total (number),65
Bangladesh,2010,Threatened Species: Plants (number),16
Faroe Islands,2004,Threatened Species: Plants (number),0
Viet Nam,2010,Threatened Species: Plants (number),146
South Georgia & Sandwich Is.,2018,Threatened Species: Invertebrates (number),0
Sao Tome and Principe,2016,Threatened Species: Vertebrates (number),51
Nigeria,2020,Threatened Species: Vertebrates (number),156
Zimbabwe,2019,Threatened Species: Plants (number),52
Benin,2017,Threatened Species: Total (number),88
Timor-Leste,2004,Threatened Species: Plants (number),0
Isle of Man,2020,Threatened Species: Invertebrates (number),0
Saint Barthélemy,2018,Threatened Species: Vertebrates (number),19
Republic of Korea,2017,Threatened Species: Vertebrates (number),74
Niue,2020,Threatened Species: Total (number),56
Saint Helena,2010,Threatened Species: Vertebrates (number),31
Ethiopia,2010,Threatened Species: Plants (number),26
Mayotte,2010,Threatened Species: Vertebrates (number),9
Zambia,2018,Threatened Species: Total (number),91
Guernsey,2020,Threatened Species: Plants (number),0
Australia,2017,Threatened Species: Plants (number),94
Sri Lanka,2020,Threatened Species: Vertebrates (number),213
Germany,2018,Threatened Species: Vertebrates (number),40
Gibraltar,2019,Threatened Species: Total (number),33
Svalbard and Jan Mayen Is.,2018,Threatened Species: Vertebrates (number),9
Comoros,2010,Threatened Species: Vertebrates (number),21
New Zealand,2004,Threatened Species: Vertebrates (number),114
Guyana,2004,Threatened Species: Vertebrates (number),41
Guinea-Bissau,2018,Threatened Species: Vertebrates (number),73
Malta,2020,Threatened Species: Total (number),49
Jamaica,2018,Threatened Species: Vertebrates (number),87
Albania,2010,Threatened Species: Plants (number),0
Russian Federation,2018,Threatened Species: Vertebrates (number),139
Bahamas,2018,Threatened Species: Plants (number),7
Algeria,2017,Threatened Species: Plants (number),18
Cyprus,2004,Threatened Species: Vertebrates (number),24
Samoa,2016,Threatened Species: Plants (number),2
Egypt,2004,Threatened Species: Plants (number),2
Saudi Arabia,2016,Threatened Species: Invertebrates (number),59
Panama,2020,Threatened Species: Total (number),400
Montserrat,2016,Threatened Species: Plants (number),6
Russian Federation,2004,Threatened Species: Plants (number),7
Kuwait,2019,Threatened Species: Plants (number),0
Timor-Leste,2010,Threatened Species: Plants (number),0
Ireland,2010,Threatened Species: Total (number),27
United Arab Emirates,2020,Threatened Species: Plants (number),0
Belarus,2010,Threatened Species: Invertebrates (number),6
Paraguay,2016,Threatened Species: Total (number),59
Uruguay,2016,Threatened Species: Invertebrates (number),2
Spain,2019,Threatened Species: Vertebrates (number),142
Pakistan,2017,Threatened Species: Plants (number),12
Jersey,2016,Threatened Species: Plants (number),0
Fiji,2018,Threatened Species: Invertebrates (number),165
Saint Vincent & Grenadines,2020,Threatened Species: Total (number),65
Saint Kitts and Nevis,2016,Threatened Species: Vertebrates (number),39
Palau,2019,Threatened Species: Total (number),186
Benin,2017,Threatened Species: Plants (number),17
Mozambique,2020,Threatened Species: Vertebrates (number),153
Rwanda,2004,Threatened Species: Invertebrates (number),4
Lesotho,2004,Threatened Species: Invertebrates (number),1
Cabo Verde,2020,Threatened Species: Invertebrates (number),13
Brunei Darussalam,2016,Threatened Species: Plants (number),104
Angola,2020,Threatened Species: Vertebrates (number),117
Chad,2018,Threatened Species: Total (number),46
Slovakia,2004,Threatened Species: Vertebrates (number),27
Christmas Island,2016,Threatened Species: Vertebrates (number),20
Kyrgyzstan,2017,Threatened Species: Plants (number),14
Malta,2017,Threatened Species: Vertebrates (number),30
Bulgaria,2019,Threatened Species: Plants (number),18
Sint Maarten (Dutch part),2017,Threatened Species: Vertebrates (number),39
Belize,2010,Threatened Species: Total (number),92
Côte d’Ivoire,2019,Threatened Species: Invertebrates (number),7
Tunisia,2016,Threatened Species: Vertebrates (number),70
Nigeria,2018,Threatened Species: Vertebrates (number),148
Paraguay,2016,Threatened Species: Plants (number),19
Falkland Islands (Malvinas),2018,Threatened Species: Plants (number),5
North Macedonia,2017,Threatened Species: Total (number),110
India,2019,Threatened Species: Total (number),1081
Albania,2016,Threatened Species: Plants (number),0
Sierra Leone,2019,Threatened Species: Plants (number),111
Sao Tome and Principe,2018,Threatened Species: Total (number),104
"Bonaire, St. Eustatius & Saba",2018,Threatened Species: Total (number),56
Argentina,2004,Threatened Species: Invertebrates (number),10
Cyprus,2017,Threatened Species: Vertebrates (number),42
Guinea,2010,Threatened Species: Invertebrates (number),5
Mexico,2004,Threatened Species: Plants (number),261
Barbados,2020,Threatened Species: Plants (number),3
Luxembourg,2017,Threatened Species: Total (number),11
Peru,2016,Threatened Species: Vertebrates (number),351
Guinea,2018,Threatened Species: Total (number),215
Dem. People's Rep. Korea,2017,Threatened Species: Total (number),78
Mexico,2017,Threatened Species: Invertebrates (number),106
Somalia,2020,Threatened Species: Total (number),199
Greece,2004,Threatened Species: Vertebrates (number),62
Pitcairn,2017,Threatened Species: Plants (number),7
Bosnia and Herzegovina,2020,Threatened Species: Plants (number),6
Jordan,2018,Threatened Species: Total (number),117
Malawi,2019,Threatened Species: Plants (number),37
Benin,2017,Threatened Species: Invertebrates (number),3
Chad,2020,Threatened Species: Total (number),48
Liechtenstein,2004,Threatened Species: Vertebrates (number),3
Cuba,2010,Threatened Species: Vertebrates (number),123
Saint Lucia,2020,Threatened Species: Total (number),69
Norway,2010,Threatened Species: Total (number),36
Pakistan,2010,Threatened Species: Total (number),109
Madagascar,2020,Threatened Species: Invertebrates (number),195
South Sudan,2020,Threatened Species: Invertebrates (number),1
Oman,2010,Threatened Species: Vertebrates (number),47
Niue,2016,Threatened Species: Vertebrates (number),22
Greece,2017,Threatened Species: Invertebrates (number),192
Réunion,2020,Threatened Species: Vertebrates (number),35
Ghana,2004,Threatened Species: Plants (number),117
